index,zh,en,count,github-repository,status,stargazers_count,forks_count,subscribers_count,pushed_at,created_at,updated_at,license,desc
0,（美国）北卡罗来纳大学夏洛特分校,University of North Carolina at Charlotte,1/1,[cci-grads/uncc-thesis-latex](https://github.com/cci-grads/uncc-thesis-latex),1,14,10,11,2019-02-27,2013-02-18,2023-08-22, ,LaTeX template for UNC-Charlotte dissertations
1,（美国）北卡罗来纳州立大学,North Carolina State University,1/1,[jhykes/ncsuthesis](https://github.com/jhykes/ncsuthesis),1,13,6,4,2019-07-08,2011-04-12,2022-02-22, ,A LaTeX thesis class conforming to NC State ETD guidelines
2,（美国）德克萨斯州大学奥斯汀分校,University of Texas at Austin,1/1,[OttoStruve/UT-thesis](https://github.com/OttoStruve/UT-thesis),1,0,5,29,2018-06-27,2016-03-08,2018-06-27,MIT,"UT thesis template, so we can stop passing it around via email like animals"
3,（美国）华盛顿大学,University of Washington (UW),0/1,[UWIT-IAM/UWThesis](https://github.com/UWIT-IAM/UWThesis),0,55,53,19,2021-11-09,2014-11-17,2023-11-15,NOASSERTION,**【已归档】** Class file for University of Washington thesis formatting with LaTeX.
4,（美国）加利福尼亚大学洛杉矶分校,"University of California, Los Angeles (UCLA)",1/1,[uclathes/uclathes](https://github.com/uclathes/uclathes),1,114,82,15,2020-06-15,2012-04-16,2023-11-24, ,UCLA Thesis LaTeX style
5,（美国）加利福尼亚大学欧文分校,"University of California, Irvine (UCI)",1/1,[lotten/uci-thesis-latex](https://github.com/lotten/uci-thesis-latex),1,74,55,11,2022-04-13,2012-10-10,2023-09-19, ,LaTeX template for thesis and dissertation documents at UC Irvine
6,（美国）加利福尼亚大学圣迭戈分校,"University of California, San Diego (UCSD)",1/1,[ucsd-thesis/ucsd-thesis](https://github.com/ucsd-thesis/ucsd-thesis),1,67,56,11,2022-06-27,2016-12-31,2023-11-24,MIT, 
7,（美国）加利福尼亚大学圣克鲁斯分校,"University Of California, Santa Cruz (UCSC)",1/1,[adamnovak/ucscthesis](https://github.com/adamnovak/ucscthesis),1,13,22,5,2020-12-05,2014-05-23,2023-11-22,NOASSERTION,LaTeX templates for UCSC thesis and/or advancement (thesis proposal)
8,（美国）科罗拉多州立大学,Colorado State University,1/1,[idfah/csuthesis](https://github.com/idfah/csuthesis),1,40,31,4,2020-05-08,2017-02-04,2023-11-09,NOASSERTION,Colorado State University LaTeX Thesis/Dissertation Template
9,（美国）罗格斯大学,Rutgers University,1/1,[rucsgss/thesis](https://github.com/rucsgss/thesis),1,23,16,3,2019-11-10,2015-04-14,2023-05-28, ,LaTeX template for Rutgers University Computer Science thesis
10,（美国）麻省理工学院,Massachusetts Institute of Technology (MIT),1/1,[kljensen/mit-phd-thesis](https://github.com/kljensen/mit-phd-thesis),1,62,31,5,2019-12-07,2010-01-10,2023-08-14, ,MIT Ph.D. Thesis in LaTeX
11,（美国）马凯特大学,Marquette University,0/1,[pdgessler/mugsthesis](https://github.com/pdgessler/mugsthesis),0,2,2,2,2022-09-01,2014-08-07,2023-01-27, ,"**【已归档】** A thesis class, based on memoir, complying with Marquette University Graduate School requirements"
12,（美国）马萨诸塞大学,University of Massachusetts (UMass),1/1,[umasscs/umassthesis](https://github.com/umasscs/umassthesis),1,56,45,14,2023-10-18,2011-11-03,2023-11-02, ,Unofficial UMass thesis style files for use with LaTeX
13,（美国）密歇根州立大学,Michigan State University,1/1,[amunn/msu-thesis](https://github.com/amunn/msu-thesis),1,19,9,4,2023-10-07,2011-09-11,2023-10-19, ,Thesis Class for Michigan State University
14,（美国）乔治·华盛顿大学,George Washington University (GWU),1/1,[skulumani/thesis-gwu](https://github.com/skulumani/thesis-gwu),1,26,15,4,2022-07-27,2016-09-25,2023-09-13,GPL-3.0,GWU SEAS sample thesis
15,（美国）斯坦福大学,Stanford University,1/2,[dcroote/stanford-thesis-example](https://github.com/dcroote/stanford-thesis-example),1,35,16,3,2022-08-30,2019-06-11,2023-10-26,MIT,Stanford LaTeX thesis template
16,（美国）斯坦福大学,Stanford University,1/2,[jbau/thesis](https://github.com/jbau/thesis),0,0,2,2,2013-05-21,2013-05-21,2014-01-20, ,**【长久未更新】** 
17,（美国）威廉与玛丽学院,College of William and Mary,1/1,[yishanhe/WM-AS-thesis-latex-template](https://github.com/yishanhe/WM-AS-thesis-latex-template),1,7,4,2,2021-10-08,2017-10-23,2021-09-09,MIT,[CONTRIBUTORS NEEDED] A LaTeX template keeps up with the College of William & Mary - Art & Science Physical Standards for Theses & Dissertations.
18,（美国）威斯康星大学麦迪逊分校,University of Wisconsin-Madison,0/1,[willb/wi-thesis-template](https://github.com/willb/wi-thesis-template),0,47,35,5,2016-05-17,2008-10-01,2023-09-21,NOASSERTION,**【长久未更新】** LaTeX dissertation template for the University of Wisconsin--Madison
19,（美国）西北大学,Northwestern University,1/1,[h-havenga/The-unofficial-NWU-LaTeX-template](https://github.com/h-havenga/The-unofficial-NWU-LaTeX-template),1,0,0,1,2018-04-05,2017-11-09,2018-04-05, ,Becuase LaTeX rules
20,（美国）印第安纳大学,Indiana University,1/1,[liang-chen/IU-PhD-Thesis-Template](https://github.com/liang-chen/IU-PhD-Thesis-Template),1,25,25,5,2018-05-01,2018-02-01,2023-09-14,MIT,Indiana University PhD Dissertation Latex Template
21,（美国）约翰斯·霍普金斯大学,Johns Hopkins University,1/1,[weitzner/jhu-thesis-template](https://github.com/weitzner/jhu-thesis-template),1,35,83,6,2018-07-18,2014-04-29,2023-11-24, ,JHU Thesis Template
